from,to
platzeck,spd
pofalla,db
pofalla,cdu
praetorius,htwberlin
praetorius,agora
tillich,cdu
hassfeldt,csu
hassfeldt,drk
kampeter,bda
kampeter,cdu
kapferer,bdew
kapferer,fdp
kempf,bdi
nemat,telekom
nemat,mckinsey
reiche,vku
reiche,cdu
roestel,enbw
roestel,gruene
roestel,sedd
schweitzer,diht
schweitzer,alba
schweitzer,fdp
grothus,bfb
wodtke,cdu
wodtke,bbg
wodtke,gzw
herntier,st
kreuzberg,cdu
priggen,gruene
priggen,leenrw
vasiliadis,igbce
vasiliadis,spd
scheidt,verdi
scheidt,spd
scheidt,eon
koerzell,dgb
koerzell,spd
kaiser,greenpeace
weiger,bund
niebert,dnr
niebert,nfd
niebert,unizuerich
allmendinger,wzb
allmendinger,dgs
schoenefeld,ba
matthes,oekoinstitut
schellnhuber,ipcc
schellnhuber,wbgu
schellnhuber,src
schellnhuber,pik
schellnhuber,unipotsdam
niebuhr,unikiel
wehrspohn,fraunhofer
wehrspohn,unihalle
laemmel,cdu
lenz,csu
miersch,spd
platzeck,kohlekommission
pofalla,kohlekommission
praetorius,kohlekommission
tillich,kohlekommission
hassfeldt,kohlekommission
kampeter,kohlekommission
kempf,kohlekommission
kapferer,kohlekommission
nemat,kohlekommission
reiche,kohlekommission
roestel,kohlekommission
schweitzer,kohlekommission
grothus,kohlekommission
wodtke,kohlekommission
herntier,kohlekommission
kreuzberg,kohlekommission
priggen,kohlekommission
vasiliadis,kohlekommission
scheidt,kohlekommission
koerzell,kohlekommission
kaiser,kohlekommission
weiger,kohlekommission
niebert,kohlekommission
allmendinger,kohlekommission
schoenefeld,kohlekommission
matthes,kohlekommission
schellnhuber,kohlekommission
niebuhr,kohlekommission
wehrsporn,kohlekommission
laemmel,kohlekommission
lenz,kohlekommission
miersch,kohlekommission
